Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),H2(20),H2X(33)
5.722060584156587e-18,0.048764219312884285,3.5688566448260775e-15,0.938,0.0,0.0,0.03086787603576944,0.009999999999978762,0.049999999999856305,1.7344766101684126e-97,3.116497418027742e-92,0.0019999999999927797,3.221997952781432e-138,3.4013878215192934e-118,1.4152700301756506e-13,1.2030791314373493e-67,4.247699214749905e-14,3.886610988490329e-41,2.171471258640178e-15,5.822418106723733e-15,1.3973803461696715e-15,1.1913960749061095e-27,1.890874872265394e-130,2.1177771056503144e-94,3.5107911606157655e-38,4.4002897938889715e-40
8.010884820850879e-18,0.048764219312884285,4.996400622505278e-15,0.938,0.0,0.0,0.030867876035690654,0.009999999999970267,0.04999999999979882,2.1128813161496179e-97,2.6152877249691496e-91,0.001999999999989892,1.9681523857873403e-136,7.989533056506504e-117,1.9813780123729144e-13,6.730036208997212e-67,5.946779034670457e-14,1.026179927543441e-40,3.040058445364782e-15,8.151385351258098e-15,1.956332485371064e-15,2.2910123985270057e-27,6.235748895952531e-129,3.038183721228214e-93,9.60616865326845e-38,1.203999317816938e-39
1.2588533294239461e-17,0.048764219312884285,7.85149090268148e-15,0.938,0.0,0.0,0.030867876035533082,0.009999999999953275,0.04999999999968387,2.8479579098317483e-97,5.025092745275776e-90,0.001999999999984116,3.1087629123600995e-134,4.863048705346943e-115,3.1135939227459605e-13,7.149459387788081e-66,9.344938906965619e-14,3.968075167339177e-40,4.777230493953791e-15,1.2809319838139426e-14,3.0742367637617915e-15,5.589376307681919e-27,4.9947238544792125e-127,9.595763769623108e-92,3.815077156098196e-37,4.781661567740141e-39
1.7166181767628044e-17,0.048764219312884285,1.0706584285276077e-14,0.938,0.0,0.0,0.03086787603537551,0.009999999999936284,0.04999999999956891,1.2136634968911885e-95,2.6424556538191486e-89,0.0019999999999783403,3.2287066288792087e-133,3.690600957919658e-114,4.24580976102844e-13,3.0174690382010795e-65,1.274309908946563e-13,9.847773333736947e-40,6.5143994400678235e-15,1.7467254322101714e-14,4.1921410421364295e-15,1.0354508623714946e-26,4.5580299831863694e-126,6.133151396367551e-91,9.551582393312464e-37,1.19715504304314e-38
2.632147871440521e-17,0.048764219312884285,1.641678035488712e-14,0.938,0.0,0.0,0.030867876035060367,0.009999999999902302,0.04999999999933899,1.6111753420329884e-95,3.9889845249159225e-88,0.0019999999999667888,4.3605883694045893e-131,1.6128875019813091e-112,6.510241221386896e-13,2.7701260045833935e-64,1.9539420384796882e-13,3.576722562217432e-39,9.988728027704349e-15,2.6783123281271814e-14,6.427949598837451e-15,2.428375263785692e-26,3.495643688277434e-124,1.57485956791603e-89,3.4915506521783694e-36,4.376152023057693e-38
4.463207260795954e-17,0.048764219312884285,2.7837209710989778e-14,0.938,0.0,0.0,0.030867876034430083,0.00999999999983434,0.049999999998879156,2.3084858391470804e-93,1.1974289857956535e-86,0.0019999999999436853,1.1882918424431775e-128,1.644717630363503e-110,1.1039103277292433e-12,4.368805371730069e-63,3.313206669670366e-13,1.787348290772544e-38,1.693734798541808e-14,4.541486116459467e-14,1.0899566712046476e-14,6.973786517657253e-26,4.788772786036189e-122,8.181954858388152e-88,1.7503879135785703e-35,2.193846474030753e-37
8.125326039506822e-17,0.048764219312884285,5.0678217286602075e-14,0.938,0.0,0.0,0.03086787603316951,0.009999999999698413,0.04999999999795949,2.8214466388908757e-93,5.199242213910376e-85,0.0019999999998974788,7.342555804052437e-126,2.6020985118901786e-108,2.009682392992039e-12,9.615336329237482e-62,6.03173742050828e-13,1.1079995277553208e-37,3.0834439034723564e-14,8.267833679117355e-14,1.9842800937692466e-14,2.310273575606733e-25,1.4832553005816013e-119,6.500770062604548e-86,1.0863814853788088e-34,1.3616014381613279e-36
1.5449563596928557e-16,0.048764219312884285,9.636082787848324e-14,0.938,0.0,0.0,0.03086787603064837,0.009999999999426561,0.04999999999612015,4.9741738558653815e-93,2.7281357482478694e-83,0.0019999999998050653,5.421935842519412e-123,5.193585299336769e-106,3.821225139848012e-12,2.535765240188437e-60,1.1468804875880638e-12,7.763643381300096e-37,5.862802568181765e-14,1.5720528748406498e-13,3.772926938589619e-14,8.351309808214711e-25,5.478158112147867e-117,6.498112912713588e-84,7.61504205340918e-34,9.54402143011335e-36
3.009803871177202e-16,0.048764219312884285,1.8772843072761813e-13,0.938,0.0,0.0,0.030867876025606096,0.009999999998882856,0.049999999992441486,6.0281940683429e-93,1.5786942239003193e-81,0.0019999999996202383,4.699620976762491e-120,1.1711171291613786e-103,7.44430509889535e-12,7.353695051033934e-59,2.234296360043895e-12,5.805485177411646e-36,1.1421281726718965e-13,3.062591866287851e-13,7.350220626995052e-14,3.1694364173502043e-24,2.3747604979350633e-114,7.331625258038411e-82,5.695109918652548e-33,7.137467370779763e-35
4.474651382661549e-16,0.048764219312884285,2.790992090067542e-13,0.938,0.0,0.0,0.030867876020563824,0.00999999999833915,0.049999999988762825,1.229649125863833e-89,1.0699084683572451e-80,0.0019999999994354113,6.09528917695944e-119,1.129862003739641e-102,1.1067377678400702e-11,4.094829086023842e-58,3.3217154075510433e-12,1.8087942573331695e-35,1.697944333646322e-13,4.55313082785422e-13,1.0927514313753394e-13,7.005207112414026e-24,2.767365776418933e-113,6.130203819163296e-81,1.7744809130022588e-32,2.2238217205736345e-34
5.939498894145895e-16,0.048764219312884285,3.7047316254286955e-13,0.938,0.0,0.0,0.030867876015521555,0.009999999997795444,0.04999999998508417,3.3568462608670785e-89,4.443084075313923e-80,0.0019999999992505843,5.88220635957936e-118,6.556303777915074e-102,1.4690442878379237e-11,1.460807497732167e-57,4.4091376299364925e-12,4.086891254617149e-35,2.2537287414716267e-13,6.043669759539766e-13,1.450480799886462e-13,1.2342444461453243e-23,2.5732112106662036e-112,3.2032222790196523e-80,4.009486878025267e-32,5.024630127793419e-34
7.404346405630242e-16,0.048764219312884285,4.618502911573573e-13,0.938,0.0,0.0,0.030867876010479297,0.009999999997251739,0.04999999998140552,5.842981634653977e-89,1.4103895824634082e-79,0.0019999999990657573,4.084544645828505e-117,2.8572600599773134e-101,1.8313500698846035e-11,4.0630190785472435e-57,5.496563027021635e-12,7.750339048418641e-35,2.809481397933832e-13,7.534208661344488e-13,1.8082101682328707e-13,1.9181150030336888e-23,1.6802838186645693e-111,1.2719760513435256e-79,7.603762511968557e-32,9.528628015259977e-34
