Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NN_ads(36)
8.864594220764009e-18,0.048764219312884285,2.164816250790969e-15,2.3347172158049115e-25,8.605814758616934e-15,3.609322952309581e-130,2.165030130884835e-15,0.938,3.1329431608412456e-72,6.580518874485616e-13,1.0537420604132172e-36,2.1387962686962635e-19,9.020067638404073e-14,0.0,0.0,0.028857280194007094,0.009999999999670973,0.049999999999991405,1.0240506857599582e-80,5.430292607586237e-112,0.001999999999907635,1.460405659805667e-137,1.2007525788960249e-92
1.1819458961834066e-17,0.048764219312884285,2.8864216678951497e-15,3.982752897880019e-25,1.1474419668365947e-14,3.005061099839029e-129,2.8867068415276237e-15,0.938,1.0107101573209e-71,8.774025166453894e-13,2.222647187732607e-36,2.8517283583335494e-19,1.2026756824649948e-13,0.0,0.0,0.028857280193753363,0.009999999999561297,0.04999999999998854,2.389218769103099e-80,1.982336382563655e-111,0.001999999999876847,1.1804265629898554e-136,4.0013214333703395e-92
1.772918844397418e-17,0.048764219312884285,4.329632502075422e-15,8.245783973541335e-25,1.7211629476100383e-14,1.083011382476453e-127,4.3300602629785115e-15,0.938,5.563421406083527e-71,1.316103775024346e-12,6.070738803368882e-36,4.2775925374693066e-19,1.8040135166697395e-13,0.0,0.0,0.028857280193245904,0.009999999999341947,0.0499999999999828,3.2460217048829442e-80,1.2911333853739233e-110,0.0019999999998152698,4.6143427429152345e-135,1.0745597113535878e-91
2.3638917926114294e-17,0.048764219312884285,5.77284333621168e-15,1.4023918795883077e-24,2.2948839265402754e-14,6.735933344692571e-127,5.773413684688419e-15,0.938,1.7854501811023885e-70,1.754805033380271e-12,1.2702016207485413e-35,5.703456716387559e-19,2.405351346104246e-13,0.0,0.0,0.028857280192738446,0.009999999999122596,0.04999999999997706,5.4284566074502045e-80,4.7468954328927826e-110,0.0019999999997536927,3.225046036912925e-134,2.048553652140008e-91
3.545837689039452e-17,0.048764219312884285,8.659265004339671e-15,3.055525955174593e-24,3.442325878348305e-14,3.824212826407305e-125,8.660120528958765e-15,0.938,1.3644413956283717e-69,2.632207550016494e-12,4.0109050333570056e-35,8.5551850735098495e-19,3.6080269893094633e-13,0.0,0.0,0.02885728019172353,0.009999999998683895,0.049999999999965586,6.4496614802311416e-80,5.807751481566144e-109,0.0019999999996305386,3.5532279493087735e-132,4.6140528398629784e-91
4.727783585467475e-17,0.048764219312884285,1.1545686672277149e-14,5.364475374476577e-24,4.5897678221779844e-14,3.084393465991998e-124,1.1546827374350283e-14,0.938,5.140376673338843e-69,3.509610066553026e-12,9.122950912544448e-35,1.1406913429690664e-18,4.810702611866621e-13,0.0,0.0,0.02885728019070861,0.009999999998245194,0.04999999999995411,4.3363735101042674e-79,2.7105920048307407e-108,0.0019999999995073845,3.303870999588903e-131,1.9023789446544234e-90
7.09167537832352e-17,0.048764219312884285,1.7318530007577932e-14,1.1958884054410012e-23,6.884651685792026e-14,1.7501915225311142e-122,1.732024106851233e-14,0.938,4.111255962550916e-68,5.264415099325635e-12,3.045964780763533e-34,1.711037013921484e-18,7.216053794751386e-13,0.0,0.0,0.028857280188678777,0.009999999997367792,0.04999999999993116,5.694606636262078e-79,3.482313010340313e-107,0.0019999999992610764,3.2570623498699623e-129,6.028243052951655e-90
1.181945896403561e-16,0.048764219312884285,2.8864216675882204e-14,3.305575495653279e-23,1.1474419316814336e-13,2.3296465094139617e-120,2.886706847035589e-14,0.938,5.903723382563244e-67,8.774025163668733e-12,1.4322881887415867e-33,2.8517283546910512e-18,1.202675591153931e-12,0.0,0.0,0.028857280184619104,0.009999999995612987,0.04999999999988526,1.3422368591655996e-78,9.406234464816612e-106,0.001999999998768461,8.59358028703484e-127,2.500814119339015e-89
2.1275026135459794e-16,0.048764219312884285,5.195559000329905e-14,1.0689021521999008e-22,2.065395419393243e-13,5.791331508276195e-118,5.1960723328135336e-14,0.938,1.2324559275723394e-65,1.5793245287545155e-11,8.565110473912688e-33,5.1331110316878824e-18,2.1648159148921075e-12,0.0,0.0,0.028857280176499762,0.009999999992103378,0.04999999999979347,3.127797718790704e-77,3.8612277761146134e-104,0.001999999997783229,4.2632415637041585e-124,8.150391197680698e-88
4.018616047830816e-16,0.048764219312884285,9.813833662136421e-14,3.811256896067177e-22,3.901302240841783e-13,2.0394533149343586e-115,9.814803326006924e-14,0.938,3.161479798786561e-64,2.9831685516058325e-11,5.887833318553845e-32,9.69587636751176e-18,4.08909616387932e-12,0.0,0.0,0.028857280160261074,0.009999999985084157,0.04999999999960987,2.840186347717781e-75,1.9686942799786156e-102,0.001999999995812766,3.0004575866271853e-121,1.4305244947747334e-85
